filename,celebrity,image_path
001_fe3347c0.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\001_fe3347c0.jpg
002_8f8da10e.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\002_8f8da10e.jpg
003_57612506.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\003_57612506.jpg
004_f61e7d0c.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\004_f61e7d0c.jpg
005_582c121a.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\005_582c121a.jpg
006_9135205d.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\006_9135205d.jpg
007_cabbfcbb.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\007_cabbfcbb.jpg
008_d1f87068.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\008_d1f87068.jpg
009_fb3e6174.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\009_fb3e6174.jpg
010_f99d79e3.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\010_f99d79e3.jpg
011_7344ca35.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\011_7344ca35.jpg
012_cfcd4007.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\012_cfcd4007.jpg
013_95ecbd39.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\013_95ecbd39.jpg
014_0d29db88.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\014_0d29db88.jpg
015_8bac79b5.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\015_8bac79b5.jpg
016_8945d6ca.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\016_8945d6ca.jpg
017_e28ea9d4.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\017_e28ea9d4.jpg
018_fcafe1a8.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\018_fcafe1a8.jpg
019_57ab290d.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\019_57ab290d.jpg
020_4c4b655f.jpg,Angelina Jolie,Celebrity Faces Dataset\Angelina Jolie\020_4c4b655f.jpg
